Bank Name,Bank Link,Date,Rub Buy
АРМЭКОНОМБАНК,https://rate.am/ru/bank/hayekonombank,"05 Окт, 17:00",6.50
Ардшинбанк,https://rate.am/ru/bank/ardshinbank,"05 Окт, 17:00",6.46
Акба банк,https://rate.am/ru/bank/acba-bank,"05 Окт, 17:00",6.46
Эвокабанк,https://rate.am/ru/bank/evocabank,"05 Окт, 17:00",6.45
АраратБанк,https://rate.am/ru/bank/araratbank,"05 Окт, 17:00",6.45
Арцахбанк,https://rate.am/ru/bank/arcakhbank,"05 Окт, 17:00",6.35
Инекобанк,https://rate.am/ru/bank/inekobank,"05 Окт, 17:00",6.30
Армбизнесбанк,https://rate.am/ru/bank/haybiznesbank,"05 Окт, 17:00",6.20
Меллат Банк,https://rate.am/ru/bank/mellat-bank,"05 Окт, 17:00",6.20
АйДи Банк,https://rate.am/ru/bank/aydi-bank,"05 Окт, 17:00",6.13
Конверс Банк,https://rate.am/ru/bank/konvers-bank,"05 Окт, 17:00",6.01
Юнибанк/Армения,https://rate.am/ru/bank/yunibank,"05 Окт, 17:05",6
Библос Банк Армения,https://rate.am/ru/bank/biblos-bank-armenia,"05 Окт, 17:00",5.97
Америабанк,https://rate.am/ru/bank/ameriabank,"05 Окт, 17:00",5.93
Эйч-Эс-Би-Си Банк Ар..,https://rate.am/ru/bank/eychesbisi-bank,"05 Окт, 17:00",5.92
ВТБ Армения,https://rate.am/ru/bank/vtbhayastan-bank,"05 Окт, 17:00",5.90
Армсвисбанк,https://rate.am/ru/bank/armsvisbank,"05 Окт, 17:00",5.89
